contractSymbol,S0,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250926C00245000,254.1699981689453,2025-09-23 18:46:50+00:00,245.0,9.73,9.6,9.85,-1.8700008,-16.120697,2915,21609,0.335944140625,True,REGULAR,USD
AAPL250926C00247500,254.1699981689453,2025-09-23 18:48:23+00:00,247.5,7.61,7.6,7.7,-1.5899997,-17.282606,3495,7133,0.3200751586914062,True,REGULAR,USD
AAPL250926C00250000,254.1699981689453,2025-09-23 18:47:44+00:00,250.0,5.5,5.45,5.5,-1.5999999,-22.53521,28099,30978,0.2802806347656249,True,REGULAR,USD
AAPL250926C00252500,254.1699981689453,2025-09-23 18:48:17+00:00,252.5,3.76,3.65,3.75,-1.4100001,-27.27273,10618,18359,0.26758544921875,True,REGULAR,USD
AAPL250926C00255000,254.1699981689453,2025-09-23 18:48:59+00:00,255.0,2.3,2.23,2.25,-1.3,-36.11111,54679,30103,0.24829853271484376,False,REGULAR,USD
AAPL250926C00257500,254.1699981689453,2025-09-23 18:49:30+00:00,257.5,1.3,1.28,1.31,-1.0699999,-45.14768,73904,12842,0.2475661181640625,False,REGULAR,USD
AAPL250926C00260000,254.1699981689453,2025-09-23 18:48:41+00:00,260.0,0.7,0.69,0.7,-0.8,-53.333332,96951,33425,0.24732197998046873,False,REGULAR,USD
AAPL250926C00262500,254.1699981689453,2025-09-23 18:48:15+00:00,262.5,0.37,0.36,0.37,-0.55,-61.797752,27529,16260,0.25269302001953126,False,REGULAR,USD
AAPL250926C00265000,254.1699981689453,2025-09-23 18:46:30+00:00,265.0,0.2,0.19,0.2,-0.39,-67.24138,17895,19857,0.2622144091796875,False,REGULAR,USD
AAPL250926C00270000,254.1699981689453,2025-09-23 18:49:16+00:00,270.0,0.08,0.07,0.08,-0.19000001,-70.37038,24177,17364,0.29688203124999996,False,REGULAR,USD
AAPL250926C00275000,254.1699981689453,2025-09-23 18:49:05+00:00,275.0,0.05,0.04,0.05,-0.10000001,-66.66667,6123,7768,0.34570966796874997,False,REGULAR,USD
AAPL250926C00280000,254.1699981689453,2025-09-23 18:27:25+00:00,280.0,0.03,0.02,0.03,-0.060000002,-66.666664,3079,5981,0.38672488281249995,False,REGULAR,USD
AAPL250926C00285000,254.1699981689453,2025-09-23 18:26:52+00:00,285.0,0.01,0.01,0.02,-0.04,-80.00001,538,2827,0.42578699218750005,False,REGULAR,USD
AAPL250926C00290000,254.1699981689453,2025-09-23 18:20:18+00:00,290.0,0.01,0.01,0.02,-0.02,-66.66667,2114,3891,0.48438015625,False,REGULAR,USD
AAPL250926C00295000,254.1699981689453,2025-09-23 16:12:53+00:00,295.0,0.01,0.0,0.01,-0.01,-50.0,366,2535,0.500005,False,REGULAR,USD
AAPL250926C00300000,254.1699981689453,2025-09-23 13:37:47+00:00,300.0,0.01,0.0,0.01,-0.01,-50.0,49,3080,0.51562984375,False,REGULAR,USD
AAPL250926C00305000,254.1699981689453,2025-09-23 13:33:27+00:00,305.0,0.01,0.0,0.01,0.0,0.0,64,2970,0.5625043750000001,False,REGULAR,USD
AAPL250926C00310000,254.1699981689453,2025-09-23 13:30:48+00:00,310.0,0.01,0.0,0.01,0.0,0.0,25,36,0.6093789062500001,False,REGULAR,USD
AAPL250926C00315000,254.1699981689453,2025-09-22 19:50:46+00:00,315.0,0.01,0.0,0.01,0.0,0.0,2,63,0.6562534375000001,False,REGULAR,USD
AAPL250926C00320000,254.1699981689453,2025-09-22 15:21:03+00:00,320.0,0.01,0.0,0.01,0.0,0.0,1,56,0.70312796875,False,REGULAR,USD
AAPL250926C00325000,254.1699981689453,2025-09-23 14:32:54+00:00,325.0,0.01,0.0,0.01,0.0,0.0,2,35,0.7500025,False,REGULAR,USD
